time_s,voltage_V,current_A
7.064012268372248116e+01,4.160488991448351825e+00,0.000000000000000000e+00
7.440402903589944117e+01,4.161306632712765463e+00,0.000000000000000000e+00
7.816793538807640118e+01,4.162037055904661109e+00,0.000000000000000000e+00
8.193184174025336119e+01,4.162694229736244367e+00,0.000000000000000000e+00
8.569574809243032121e+01,4.163286910962801457e+00,0.000000000000000000e+00
8.945965444460728122e+01,4.163824528889223942e+00,0.000000000000000000e+00
9.322356079678424123e+01,4.164312113800486159e+00,0.000000000000000000e+00
9.698746714896120125e+01,4.164757629655810867e+00,0.000000000000000000e+00
1.007513735011381613e+02,4.165163728682791167e+00,0.000000000000000000e+00
1.045152798533151213e+02,4.165537046058668480e+00,0.000000000000000000e+00
1.082791862054920813e+02,4.165879659859708539e+00,0.000000000000000000e+00
1.120430925576690413e+02,4.166196699302997963e+00,0.000000000000000000e+00
1.158069989098460013e+02,4.166488147657348762e+00,0.000000000000000000e+00
1.195709052620229613e+02,4.166760198945953064e+00,0.000000000000000000e+00
1.233348116141999213e+02,4.167010192095551346e+00,0.000000000000000000e+00
1.270987179663768813e+02,4.167245385089991316e+00,0.000000000000000000e+00
1.308626243185538272e+02,4.167463719647934717e+00,0.000000000000000000e+00
1.346265306707307730e+02,4.167669151869411337e+00,0.000000000000000000e+00
1.383904370229077188e+02,4.167859578152211419e+00,0.000000000000000000e+00
1.421543433750846646e+02,4.168040899803294508e+00,0.000000000000000000e+00
1.459182497272616104e+02,4.168208220190102509e+00,0.000000000000000000e+00
1.496821560794385562e+02,4.168370286099372990e+00,0.000000000000000000e+00
1.534460624316155020e+02,4.168517781695198821e+00,0.000000000000000000e+00
1.572099687837924478e+02,4.168664658382047250e+00,0.000000000000000000e+00
1.609738751359693936e+02,4.168794270789471845e+00,0.000000000000000000e+00
1.643613908529286505e+02,4.168907894871999531e+00,0.000000000000000000e+00
1.677489065698879074e+02,4.169016489960769789e+00,0.000000000000000000e+00
1.711364222868471643e+02,4.169120627235988863e+00,0.000000000000000000e+00
1.779114537207656781e+02,4.169319571260708734e+00,0.000000000000000000e+00
1.846864851546841919e+02,4.169504312342233732e+00,0.000000000000000000e+00
1.982365480225212480e+02,4.169835933927261706e+00,0.000000000000000000e+00
2.100000000000000000e+02,4.170088081111368972e+00,0.000000000000000000e+00
